extend,number_of_states,RRT_execution_time,gripper_distance_cart,robot_distance_jointspace,path_exec_time
2.25,10,47,8.29496,19.8592,14.8645
2.25,14,110,11.3039,26.9665,21.5968
2.25,9,41,6.8036,13.933,10.2519
2.25,9,36,7.72003,13.9244,9.4266
2.25,9,36,7.45749,15.6725,12.2499
2.25,11,85,6.43841,18.4627,13.469
2.25,12,51,7.6684,21.5723,16.3868
2.25,9,43,8.24296,14.4564,11.6609
2.25,8,86,6.41575,12.9597,9.03081
2.25,9,46,6.81688,13.985,10.3235
2.25,13,36,7.41388,22.5683,15.5858
2.25,8,55,8.02457,15.7157,11.7019
2.25,7,36,6.00769,12.8107,9.35686
2.25,11,47,7.98891,20.8056,13.3791
2.25,8,47,6.66487,14.7381,11.2728
2.25,10,66,5.97269,18.3601,13.9601
2.25,11,102,6.14081,19.1949,13.6837
2.25,9,42,6.38004,15.1854,12.5486
2.25,10,72,6.8538,17.8383,13.1324
2.25,11,38,7.367,19.9891,16.261
2.25,8,98,7.37818,13.659,10.5844
2.25,11,72,7.88926,18.3496,12.9697
2.25,14,93,8.71779,25.3461,17.1815
2.25,8,67,5.94755,13.8228,10.1397
2.25,14,77,9.15751,24.0783,17.2017
2.25,17,108,11.1634,33.4804,23.2344
2.25,8,32,6.53162,13.9641,10.2956
2.25,12,72,6.7571,22.0959,17.2363
2.25,11,92,7.81915,19.5893,13.7738
2.25,8,60,5.73482,14.6595,13.1492
2.25,9,100,6.9065,16.0044,12.7831
2.25,11,79,8.53536,20.3453,13.6569
2.25,11,100,7.41793,19.4461,14.1077
2.25,9,43,7.1259,16.3039,11.3233
2.25,9,80,7.31014,17.3022,11.7643
2.25,9,60,6.97997,15.6688,11.4788
2.25,15,100,9.92425,26.6822,20.2097
2.25,10,77,9.05191,19.6143,14.0859
2.25,8,33,6.04598,13.0424,9.81687
2.25,11,107,8.82057,20.6326,14.9677
2.25,10,37,7.79698,18.6178,14.3892
2.25,10,62,6.1813,16.9333,12.3422
2.25,14,67,9.56383,27.4154,21.2039
2.25,7,41,5.71669,12.1136,9.41336
2.25,11,73,7.94748,18.5819,14.216
2.25,9,83,7.71523,17.6452,12.1293
2.25,14,91,10.4354,26.2694,21.0273
2.25,10,39,8.57367,18.9565,12.9556
2.25,11,131,7.47275,21.0474,15.403
2.25,8,35,6.37279,13.1034,9.08426
2.25,8,35,6.18314,14.1943,11.7485
2.25,8,58,7.59064,14.1244,10.4767
2.25,9,35,5.77006,14.3181,9.78957
2.25,11,78,8.2594,21.3469,15.5969
2.25,10,78,8.51413,20.0884,13.7133
2.25,10,37,6.82685,16.5625,12.6846
2.25,12,156,8.20755,21.8679,14.3601
2.25,9,42,6.50645,15.4816,11.2143
2.25,12,55,6.76729,22.2056,19.9946
2.25,10,84,8.41646,18.327,11.8102
2.25,8,24,5.58982,11.5652,8.34075
