extend,number_of_states,RRT_execution_time,gripper_distance_cart,robot_distance_jointspace,path_exec_time
2.15,10,125,8.53909,18.7692,14.3368
2.15,10,160,6.7031,18.5438,14.3307
2.15,17,145,11.6687,30.9504,19.8836
2.15,13,138,7.67026,23.1802,16.5113
2.15,11,136,7.90695,19.9265,13.0745
2.15,13,74,9.61409,23.3408,15.6064
2.15,8,30,6.35438,13.5689,9.94669
2.15,7,29,6.37676,11.4708,7.4748
2.15,9,102,6.77136,15.7556,10.8391
2.15,9,90,6.67557,15.3106,11.1648
2.15,13,115,8.76149,23.9944,17.5665
2.15,11,103,10.8411,19.9711,15.1167
2.15,12,82,10.1474,21.5827,13.6245
2.15,8,58,6.40601,13.74,8.29946
2.15,16,106,9.59561,29.5799,22.0753
2.15,9,108,5.83087,13.3427,9.58803
2.15,10,38,7.47828,18.3774,14.2837
2.15,8,84,5.91023,14.0157,9.90106
2.15,14,153,11.7562,26.5126,18.7285
2.15,7,26,5.55355,11.3833,8.29583
2.15,9,178,6.82331,16.6148,11.9994
2.15,12,87,9.53026,21.5389,17.1019
2.15,10,53,6.23996,16.6996,13.1217
2.15,11,162,7.76565,16.0698,12.6197
2.15,9,30,7.55664,14.6462,11.9297
2.15,12,135,9.7499,20.9474,14.1969
2.15,11,136,10.1208,19.0004,14.6241
2.15,9,90,6.90398,15.101,9.62177
2.15,10,137,6.74075,17.4339,10.7231
2.15,12,136,8.02825,20.5516,16.5355
2.15,13,47,8.76003,22.5468,16.0004
2.15,11,75,7.37951,19.4108,13.1718
2.15,8,34,5.4079,13.6613,10.6148
2.15,11,154,6.05095,19.8888,14.5465
2.15,15,120,9.23455,25.6764,19.0932
2.15,7,48,5.84378,12.2641,9.85789
2.15,8,37,6.71524,14.8645,11.6049
2.15,9,157,5.89715,14.9171,13.2062
2.15,11,69,7.06797,16.919,12.4427
2.15,8,71,7.15382,13.6828,9.93822
2.15,14,50,9.38175,24.5014,14.5626
2.15,12,174,9.20404,20.9949,13.0962
2.15,7,49,5.80707,11.7957,10.36
2.15,11,122,7.4834,17.7843,13.7233
2.15,17,95,10.0824,31.5857,23.5294
2.15,12,96,8.07522,21.1155,15.1888
2.15,8,44,7.34004,13.8606,10.5772
2.15,14,75,9.08322,27.0446,17.7632
2.15,11,105,8.52158,19.5248,14.6549
2.15,8,77,4.8997,14.4267,11.8419
2.15,12,67,7.91238,21.3721,13.9946
2.15,10,128,5.04808,16.1345,13.6421
2.15,12,122,7.88346,20.1324,15.0941
2.15,9,60,6.61857,15.9357,13.1846
2.15,11,51,6.94535,20.0215,15.1545
2.15,17,93,8.96012,32.1461,21.6968
2.15,12,42,9.02017,21.719,18.1447
2.15,12,67,8.52148,19.1977,14.4278
2.15,8,109,6.6366,13.0775,9.85595
2.15,9,71,6.99757,13.8785,9.09445
2.15,14,119,9.68988,23.4702,15.6535
2.15,8,64,7.09897,14.9153,11.2237
