extend,number_of_states,RRT_execution_time,gripper_distance_cart,robot_distance_jointspace,path_exec_time
0.95,16,40,8.77101,13.4482,9.53966
0.95,14,29,8.33001,11.6463,7.81496
0.95,14,42,8.07739,11.7076,9.39132
0.95,15,126,6.59241,13.0114,9.16956
0.95,14,36,7.94315,11.9463,9.01006
0.95,12,26,6.69163,10.1405,7.00633
0.95,18,105,8.65018,15.5185,11.5691
0.95,17,210,10.0547,15.1843,10.5162
0.95,15,65,8.42125,12.7986,8.37674
0.95,15,76,7.95965,13.2389,9.89031
0.95,14,66,7.08176,11.8219,9.38222
0.95,15,40,7.18947,13.0939,9.63838
0.95,19,86,9.78767,16.8758,12.2894
0.95,14,31,7.28093,12.1673,8.35597
0.95,15,57,6.98779,12.9994,9.28898
0.95,17,73,8.29844,14.8138,11.08
0.95,15,43,7.66498,12.7208,9.56283
0.95,15,172,8.55398,12.4867,9.02444
0.95,13,20,6.767,10.6519,7.4094
0.95,16,110,7.94294,13.3201,9.08527
0.95,14,54,6.92148,11.6761,7.25166
0.95,17,63,8.32485,14.8,11.1057
0.95,20,76,9.01405,17.3366,11.3434
0.95,14,36,7.3653,12.229,9.14283
0.95,13,26,7.41378,10.6439,7.07667
0.95,16,65,8.65995,13.4718,9.36076
0.95,18,81,7.40222,16.0813,12.1843
0.95,16,48,7.51843,13.3369,9.65686
0.95,14,57,7.37521,11.4965,7.04015
0.95,16,140,7.72268,14.1157,9.63373
0.95,18,336,8.61521,15.5897,10.6777
0.95,21,93,9.97478,18.7676,13.6779
0.95,17,53,6.5446,14.4656,10.5616
0.95,17,59,8.43932,14.8759,10.0342
0.95,17,82,9.14565,15.0004,11.3308
0.95,15,57,7.95538,13.0321,9.47856
0.95,15,54,7.34174,12.8254,7.87357
0.95,16,82,7.22362,13.4317,9.8479
0.95,18,77,8.22643,16.124,11.5966
0.95,13,43,7.07935,10.8606,7.66494
0.95,18,42,9.42332,15.464,11.0956
0.95,16,65,8.58564,14.1455,10.6863
0.95,13,30,6.83457,10.6706,7.04376
0.95,17,69,7.77159,15.1314,10.3062
0.95,15,88,7.53581,13.0225,10.209
0.95,16,61,7.2634,13.419,10.3375
0.95,13,46,7.58418,11.3969,8.33291
0.95,15,62,7.14101,13.2322,9.1497
0.95,15,49,7.0125,12.7085,8.16918
0.95,15,27,7.04052,12.4239,8.86123
0.95,14,80,8.19504,12.2245,9.38874
0.95,14,63,7.36088,11.4944,8.10776
0.95,15,180,6.75044,13.2486,10.8388
0.95,12,29,6.77562,9.80861,6.68187
0.95,15,67,7.34005,13.2375,9.10183
0.95,15,48,7.55104,12.5931,9.40041
0.95,14,39,7.1849,11.85,8.32057
0.95,17,116,9.0725,14.8903,10.8303
0.95,13,29,8.11339,10.5652,6.99667
0.95,15,59,8.54558,13.0988,8.93409
0.95,16,62,7.63167,13.9084,9.64254
0.95,21,96,8.38579,18.3239,13.6289
0.95,16,70,7.41838,14.0564,10.2354
0.95,15,49,7.96446,12.4109,8.05818
0.95,13,32,6.37656,11.2165,7.30064
0.95,17,111,7.57129,14.7382,11.3482
0.95,15,33,7.88237,12.6203,7.63718
0.95,17,78,8.5515,14.6567,10.2377
0.95,16,57,9.6369,13.7298,10.5717
